id,activity_type,date,time_spent
7951588,join_group,"February 20,2022",0
8545189,Live Practice Game,"February 16,2022",85
8545189,join_group,"February 16,2022",0
8545189,join_session_replay - Scheduled 1:n,"February 16,2022",6.87854099
4541512,homework,"February 16,2022",3.295182498
3093678,join_session_live - Scheduled 1:n,"February 16,2022",99.94994835
7198821,join_group,"February 16,2022",0
4920831,join_session_live - Scheduled 1:n,"February 14,2022",99.93120765
6881681,Live Practice Game,"February 16,2022",1.174383998
6881681,exit_group_section - post_details,"February 14,2022",0
6881681,join_group,"February 16,2022",0
4930227,join_session_live - Scheduled 1:n,"February 16,2022",99.87886906
6881681,join_session_live - Scheduled Competition,"February 16,2022",56.41854218
1408610,join_session_live - Scheduled 1:n,"February 16,2022",99.76469481
5986424,homework,"February 25,2022",2.365599028
3501399,join_session_replay - Scheduled 1:n,"February 16,2022",25.42086177
5650233,join_group,"February 19,2022",0
6868964,homework,"February 19,2022",1.407971966
8059038,join_session_replay - Scheduled 1:n,"January 17,2022",17.80333896
1195004,join_group,"February 19,2022",0
1930341,join_session_live - Scheduled 1:n,"February 19,2022",99.69403506
2969889,join_session_replay - Scheduled 1:n,"February 19,2022",21.1042248
6028790,Live Practice Game,"February 16,2022",1.892236019
6028790,enter_group,"February 16,2022",0
6028790,enter_group,"February 20,2022",0
4701267,join_session_live - Scheduled 1:n,"February 16,2022",99.62903589
6028790,join_session_live - Scheduled Competition,"February 14,2022",184.5269173
6028790,quizon,"February 16,2022",1.283166457
3811197,join_group,"February 16,2022",1.174383998
4076188,Live Practice Game,"February 19,2022",1.892236019
7472966,join_group,"February 16,2022",0
2127153,join_group,"February 16,2022",0
980612,join_session_live - Scheduled 1:n,"February 16,2022",99.61944098
3515932,join_group,"February 16,2022",0
6987800,quizon,"February 11,2022",1.892236019
5218796,homework,"February 19,2022",3.660822928
5218796,homework,"February 25,2022",4.441314071
5634555,join_group,"February 25,2022",0
8031815,homework,"February 19,2022",1.992277524
4345137,join_session_replay - Scheduled 1:n,"February 19,2022",27.46494416
842079,join_session_live - Scheduled 1:n,"February 22,2022",99.59920061
3540020,quizon,"February 16,2022",1.892236019
3442601,join_session_live - Scheduled 1:n,"February 25,2022",99.55744736
8087905,Live Practice Game,"February 3,2022",0.783921634
4142620,join_session_live - Scheduled Competition,"February 19,2022",64.40330413
8754930,homework,"February 16,2022",3.756776154
3988864,join_session_live - Scheduled 1:n,"January 7,2022",99.52975045
1250139,homework,"February 3,2022",2.006481318
7064701,exit_group_section - post_details,"February 16,2022",0
5401319,join_session_live - Scheduled Competition,"February 19,2022",66.61032063
2563268,join_session_live - Scheduled Competition,"February 19,2022",188.9716846
